id_project,id_task,num_totalHours
F3858G8,1121VDS,3
F3858G8,1612,25
F3858G8,1612VD,12
F3858G8,1612VDS,5
F3858G8,A010,95.2
F3858G8,A010001,20
F3858G8,A010PC,53
F3858G8,A019VDS,3
F3858G8,A040,33
F3858G8,A040VD,11
F3858G8,A040VDS,5
F3858G8,A041,22
F3858G8,A041VD,12
F3858G8,A041VDS,14
F3858G8,A053,15
F3858G8,A122VDS,3
F3858G8,A148VDS,9
F3858G8,A210,48.2
F3858G8,A210001,10.6
F3858G8,F056VDS,9
F3858G9,0010001,1.5
F3858G9,0017CME,15
F3858G9,0024001,7
F3858G9,0414,5.786764706
F3858G9,0414,5.786764706
F3858G9,0414001,5.610294118
F3858G9,0445,20.56
F3858G9,0445001,14
F3858G9,0462,81.6
F3858G9,0462001,24
F3858G9,0463,17.5
F3858G9,0706,3
F3858G9,1604,19
F3858G9,1625,28
F3858G9,1625VD,4
F3858G9,1625VDSA,11
F3858G9,A010,208.6477273
F3858G9,A010,208.6477273
F3858G9,A010001,54.42045455
F3858G9,A019VD,8
F3858G9,A035,34.74703557
F3858G9,A035001,41.83003953
F3858G9,A035002,32.71067194
F3858G9,A035003,44.78339921
F3858G9,A035VDS,11
F3858G9,A042,35
F3858G9,A042VD,4
F3858G9,A042VDSA,9
F3858G9,A210,466.4358108
F3858G9,A210,466.4358108
F3858G9,A210001,345.5236486
F4082G2,0401,9
F4082G2,0404,8.5
F4082G2,0414,16.09090909
F4082G2,0414CEE,8.090909091
F4082G2,0425,9.971428571
F4082G2,0425001,16.25714286
F4082G2,0431001,1
F4082G2,0445,14
F4082G2,0463,19.8
F4082G2,0512,27.75
F4082G2,0512BEE,12.28125
F4082G2,0701001,11
F4082G2,0719001,8
F4082G2,0797,15.5
F4082G2,0918,64.5
F4082G2,0922,204
F4082G2,0941001,2.5
F4082G2,0961,59
F4082G2,0962,336.5776119
F4082G2,0962001,198.219403
F4082G2,0965,108
F4082G2,1047,105.5
F4082G2,1104,6
F4082G2,A010PC,9.3
F4082G2,A062,10
F4082G2,A105001,0.5
F4082G3,0100AA,3
F4082G3,0404,34
F4082G3,0414,9
F4082G3,0445,5
F4082G3,0463,6
F4082G3,0512,23.73076923
F4082G3,0512BEE,10.92307692
F4082G3,0701001,8.5
F4082G3,0719001,8
F4082G3,0918,2
F4082G3,0922,2
F4082G3,0941001,0.5
F4082G3,0961,2
F4082G3,0962,105
F4082G3,0965,18.2
F4082G3,1047,9
F4082G3,1104,6
F4082G3,A010PC,9.3
F4082G3,A062,4
F4082G3,A105001,0.5
F4090G11,0404,35.1
F4090G11,1302,114
F4090G11,1303,151.5
F4090G11,1305,193
F4090G12,0100JA,2
F4090G12,0404,60.5
F4123G5,0026,1
F4123G5,0124PSEA,5
F4123G5,0124PSEA,5
F4123G5,0401,11
F4123G5,0401,11
F4123G5,0404,215
F4123G5,0404,215
F4123G5,0802,20
F4123G5,0805,320
F4123G5,0805,320
F4123G5,1105001,11
F4123G5,1105001,11
F4123G5,1301,18
F4123G5,A010,3
F4123G5,A010,3
F4123G5,A010PC,24
F4123G5,A210,2
F4123G6,0026,1
F4123G8,0017AQE,6.85483871
F4123G8,0017BTE,7.193548387
F4123G8,0017CEE,5.838709677
F4123G8,0017CGE,5.838709677
F4123G8,0017CIE,6.177419355
F4123G8,0017CKE,5.838709677
F4123G8,0017DXE,5.5
F4123G8,0017EZE,6.177419355
F4123G8,0017GQE,5.5
F4123G8,0017GSE,5.5
F4123G8,0017HFE,5.5
F4123G8,0017HLE,6.177419355
F4123G8,0017JQE,5.5
F4123G8,0017PAE,5.5
F4123G8,0082,54
F4123G8,0100SSF,1
F4123G8,0124BCE,8.295454545
F4123G8,0124BFE,6.25
F4123G8,0124BSE,6.590909091
F4123G8,0124BTE,5.909090909
F4123G8,0124CWE,6.931818182
F4123G8,0124CYE,6.931818182
F4123G8,0124DJE,6.931818182
F4123G8,0124FQE,6.931818182
F4123G8,0124FUE,5.909090909
F4123G8,0124GHE,5.909090909
F4123G8,0124IHE,6.590909091
F4123G8,0204,1
F4123G8,0301,86.5
F4123G8,0302,2
F4123G8,0313,62.5
F4123G8,0314,13
F4123G8,0401,52.5
F4123G8,0404,46.5
F4123G8,0414,28.488
F4123G8,0414001,30.12
F4123G8,0414ASE,7.910714286
F4123G8,0414CDE,8.589285714
F4123G8,0414CFE,7.571428571
F4123G8,0414CGE,9.267857143
F4123G8,0414CHE,7.571428571
F4123G8,0414CKE,7.571428571
F4123G8,0414CME,7.571428571
F4123G8,0414CNE,7.571428571
F4123G8,0414CPE,7.571428571
F4123G8,0414CTE,10.96428571
F4123G8,0414DCE,7.571428571
