id_project,desc_state
F5016G3,Complete
F5016G3,Complete
F5018G10,Complete
F5018G10,Complete
F5018G11,Active
F5018G7,Complete
F5018G7,Complete
F5018G7,Complete
F5018G7,Complete
F5018G7,Complete
F5018G7,Complete
F5019G6,Complete
F5024G6,Complete
F5024G6,Complete
F5024G6,Complete
F5024G6,Complete
F5030G15,Complete
F5030G15,Complete
F5030G16,Complete
F5030G16,Complete
F5030G17,Complete
F5030G17,Complete
F5038G6,Complete
F5049G5,Complete
F5049G5,Complete
F5049G5,Complete
F5049G5,Complete
F5049G5,Complete
F5049G5,Complete
F5049G5,Complete
F5049G6,Complete
F5049G7,Complete
F5049G7,Complete
F5056G6,Complete
F5056G6,Complete
F5063G3,Complete
F5063G3,Complete
F5063G3,Complete
F5063G4,Complete
F5063G5,Complete
F5063G5,Complete
F5084G5,Complete
F5105G6,Complete
F5105G6,Complete
F5105G6,Complete
F5105G7,Complete
F5105G7,Complete
F5105G7,Complete
F5105G7,Complete
F5105G7,Complete
F5105G7,Complete
F5105G7,Complete
F5105G7,Complete
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G2,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5108G3,Active
F5115G10,Complete
F5115G10,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G6,Complete
F5115G8,Complete
F5115G9,Complete
F5115G9,Complete
F5123G2,Complete
F5123G3,Complete
F5123G3,Complete
F5136G4,Complete
F5136G4,Complete
F5136G5,Complete
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5136G7,Active
F5185G10,Complete
F5185G10,Complete
F5185G11,Complete
F5185G11,Complete
F5185G11,Complete
F5185G7,Complete
F5185G8,Complete
F5185G9,Complete
F5196G7,Complete
F5196G8,Active
F5206G3,Complete
F5206G3,Complete
F5210G2,Complete
F5210G2,Complete
F5210G2,Complete
F5210G2,Complete
F5210G2,Complete
F5210G2,Complete
F5210G2,Complete
F5210G3,Complete
F5210G3,Complete
F5210G3,Complete
F5215G4,Complete
F5215G4,Complete
F5215G4,Complete
F5215G4,Complete
F5215G5,Complete
F5227G6,Cancel
F5227G6,Cancel
F5227G6,Cancel
F5227G7,Complete
F5231G4,Complete
F5231G4,Complete
F5231G4,Complete
F5231G4,Complete
F5231G4,Complete
F5231G4,Complete
F5238G10,Complete
F5238G11,Complete
F5238G9,Complete
F5254G12,Complete
F5254G13,Active
F5254G13,Active
F5254G13,Active
F5254G13,Active
F5254G14,Active
F5254G14,Active
F5283G2,Complete
F5283G2,Complete
F5283G2,Complete
F5283G2,Complete
F5283G2,Complete
F5283G2,Complete
F5283G2,Complete
F5301G4,Complete
F5306G6,Complete
F5306G6,Complete
F5306G6,Complete
F5306G6,Complete
F5306G6,Complete
F5306G6,Complete
F5306G6,Complete
F5306G6,Complete
F5306G6,Complete
F5306G6,Complete
F5331G5,Active
F5331G5,Active
F5342G8,Complete
F5342G8,Complete
F5342G8,Complete
F5342G9,Complete
F5345G5,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G6,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5345G7,Active
F5346G2,Active
F5347G3,Complete
F5361G10,Complete
F5361G10,Complete
F5361G11,Complete
F5361G11,Complete
F5361G12,Complete
F5361G12,Complete
F5361G13,Active
F5361G8,Complete
F5361G9,Complete
F5361G9,Complete
F5361G9,Complete
F5361G9,Complete
F5371G14,Complete
F5380G6,Complete
F5380G7,Complete
F5382G2,Complete
F5382G2,Complete
F5382G3,Complete
F5397G13,Complete
F5397G13,Complete
F5397G14,Complete
F5397G14,Complete
F5397G14,Complete
F5397G15,Complete
F5397G16,Complete
F5398G4,Complete
F5412G6,Review
F5412G7,Active
F5412G8,Active
F5412G8,Active
F5412G8,Active
F5418G3,Active
F5418G3,Active
F5418G4,Active
F5418G5,Complete
F5421G4,Complete
F5421G4,Complete
F5428G10,Complete
F5428G10,Complete
F5428G11,Complete
F5428G11,Complete
F5428G12,Complete
F5428G12,Complete
F5428G12,Complete
F5428G12,Complete
F5428G13,Active
F5428G13,Active
F5430G5,Complete
F5435G21,Complete
F5435G22,Complete
F5435G25,Active
F5435G25,Active
F5435G25,Active
F5435G26,Active
F5435G26,Active
F5435G26,Active
F5435G27,Active
F5435G27,Active
F5435G27,Active
F5435G27,Active
F5435G28,Complete
F5454G10,Complete
F5454G9,Complete
F5457G10,Complete
F5457G11,Complete
F5457G11,Complete
F5457G11,Complete
F5457G11,Complete
F5457G13,Active
F5457G13,Active
F5457G13,Active
F5457G9,Active
F5459G4,Complete
F5459G4,Complete
F5459G4,Complete
F5459G4,Complete
F5459G5,Complete
F5459G6,Complete
F5459G6,Complete
F5459G6,Complete
F5459G6,Complete
