id_req,id_frame,id_task
CR3N,7FA.02,0701
CR3N,7FA.02,0702
CR3N,7FA.02,0703
CR3N,7FA.02,0717
CR3N,7FA.02,0722
CR3N,7FA.03,0512
CR3N,7FA.03,0513
CR3N,7FA.03,0701
CR3N,7FA.03,0702
CR3N,7FA.03,0703
CR3N,7FA.03,0717
CR3N,7FA.03,0722
CR3P,7FA.02,0701
CR3P,7FA.02,0702
CR3P,7FA.02,0703
CR3P,7FA.02,0717
CR3P,7FA.02,0722
CR3P,7FA.03,0701
CR3P,7FA.03,0702
CR3P,7FA.03,0703
CR3P,7FA.03,0717
CR3P,7FA.03,0722
CR3Q,9FA.03,0512
CR3Q,9FA.03,0513
CR3Q,9FA.03,0701
CR3Q,9FA.03,0702
CR3Q,9FA.03,0703
CR3Q,9FA.03,0717
CR3Q,9FA.03,0719
CR3Q,9FA.03,0722
CR3R,7FA.02,0512
CR3R,7FA.02,0513
CR3R,7FA.02,0701
CR3R,7FA.02,0702
CR3R,7FA.02,0703
CR3R,7FA.02,0717
CR3R,7FA.02,0719
CR3R,7FA.02,0722
CR3R,7FA.02,0726
CR3R,7FA.02,A210
CR3R,7FA.03,0512
CR3R,7FA.03,0513
CR3R,7FA.03,0701
CR3R,7FA.03,0702
CR3R,7FA.03,0703
CR3R,7FA.03,0717
CR3R,7FA.03,0719
CR3R,7FA.03,0722
CR3R,7FA.03,0726
CR3R,7FA.03,A210
CR3S,9FA.01,0512
CR3S,9FA.01,0513
CR3S,9FA.01,0701
CR3S,9FA.01,0702
CR3S,9FA.01,0703
CR3S,9FA.01,0717
CR3S,9FA.01,0722
CR3S,9FA.01,0726
CR3S,9FA.01,A210
CR3T,7FA.01,0702
CR3T,7FA.01,0717
CR3T,7FA.02,0702
CR3T,7FA.02,0717
CR3T,7FA.03,0702
CR3T,7FA.03,0717
FA1A,31A,0017
FA1A,31A,0132
FA1A,31A,0331
FA1A,31A,0416
FA1A,31A,0417
FA1A,31A,0418
FA1A,31A,0420
FA1A,31A,0422
FA1A,31A,0424
FA1A,31A,0425
FA1A,31A,0427
FA1A,31A,0434
FA1A,31A,0436
FA1A,31A,0442
FA1A,31A,0453
FA1A,31A,0462
FA1A,31A,0477
FA1A,31A,0479
FA1A,31A,0480
FA1A,31A,0508
FA1A,31A,0510
FA1A,31A,0511
FA1A,31A,0512
FA1A,31A,0513
FA1A,31A,0516
FA1A,31A,0538
FA1A,31A,0566
FA1A,31A,0570
FA1A,31A,0601
FA1A,31A,0606
FA1A,31A,0607
FA1A,31A,0611
FA1A,31A,0613
FA1A,31A,0637
FA1A,31A,0701
FA1A,31A,0703
FA1A,31A,0901
FA1A,31A,0904
FA1A,31A,0908
FA1A,31A,0915
FA1A,31A,0918
FA1A,31A,0920
FA1A,31A,0923
FA1A,31A,0924
FA1A,31A,0926
FA1A,31A,0932
FA1A,31A,0956
FA1A,31A,0961
FA1A,31A,0968
FA1A,31A,0969
FA1A,31A,0991
FA1A,31A,0992
FA1A,31A,1003
FA1A,31A,1013
FA1A,31A,1026
FA1A,31A,1027
FA1A,31A,1047
FA1A,31A,1070
FA1A,31A,1075
FA1A,31A,1082
FA1A,31A,1102
FA1A,31A,1104
FA1A,31A,1105
FA1A,31A,1112
FA1A,31A,1153
FA1A,31A,1154
FA1A,31A,1605
FA1A,31A,A004
FA1A,31A,A005
FA1A,31A,A006
FA1A,31A,A014
FA1A,31A,A019
FA1A,31A,A035
FA1A,31A,A053
FA1A,31A,A068
FA1A,31A,A210
FA1A,31A,A245
FA1A,31A,A268
FA1A,31A,E007
FA1A,31A,E037
FA1A,31B,0017
FA1A,31B,0132
FA1A,31B,0331
FA1A,31B,0416
FA1A,31B,0417
FA1A,31B,0418
FA1A,31B,0420
FA1A,31B,0422
FA1A,31B,0424
FA1A,31B,0425
FA1A,31B,0427
FA1A,31B,0434
FA1A,31B,0436
FA1A,31B,0442
FA1A,31B,0453
FA1A,31B,0462
FA1A,31B,0477
FA1A,31B,0479
FA1A,31B,0480
FA1A,31B,0508
FA1A,31B,0510
FA1A,31B,0511
FA1A,31B,0512
FA1A,31B,0513
FA1A,31B,0516
FA1A,31B,0538
FA1A,31B,0566
FA1A,31B,0570
FA1A,31B,0601
FA1A,31B,0606
FA1A,31B,0607
FA1A,31B,0611
FA1A,31B,0613
FA1A,31B,0637
FA1A,31B,0701
FA1A,31B,0703
FA1A,31B,0901
FA1A,31B,0904
FA1A,31B,0908
FA1A,31B,0915
FA1A,31B,0918
FA1A,31B,0920
FA1A,31B,0923
FA1A,31B,0924
FA1A,31B,0926
FA1A,31B,0932
FA1A,31B,0956
FA1A,31B,0961
FA1A,31B,0968
FA1A,31B,0969
FA1A,31B,0991
FA1A,31B,0992
FA1A,31B,1003
FA1A,31B,1013
FA1A,31B,1026
FA1A,31B,1027
FA1A,31B,1047
FA1A,31B,1070
FA1A,31B,1075
FA1A,31B,1082
FA1A,31B,1102
FA1A,31B,1104
FA1A,31B,1105
FA1A,31B,1112
FA1A,31B,1153
FA1A,31B,1154
FA1A,31B,1605
FA1A,31B,A004
FA1A,31B,A005
FA1A,31B,A006
FA1A,31B,A014
FA1A,31B,A019
FA1A,31B,A035
FA1A,31B,A053
FA1A,31B,A068
FA1A,31B,A210
FA1A,31B,A245
FA1A,31B,A268
FA1A,31B,E007
FA1A,31B,E037
FA1A,31C,0017
FA1A,31C,0132
FA1A,31C,0331
FA1A,31C,0416
FA1A,31C,0417
FA1A,31C,0418
FA1A,31C,0420
FA1A,31C,0422
FA1A,31C,0424
FA1A,31C,0425
FA1A,31C,0427
FA1A,31C,0434
FA1A,31C,0436
FA1A,31C,0442
FA1A,31C,0453
FA1A,31C,0462
FA1A,31C,0477
FA1A,31C,0479
FA1A,31C,0480
FA1A,31C,0508
FA1A,31C,0510
FA1A,31C,0511
FA1A,31C,0512
FA1A,31C,0513
FA1A,31C,0516
FA1A,31C,0538
FA1A,31C,0566
FA1A,31C,0570
FA1A,31C,0601
FA1A,31C,0606
FA1A,31C,0607
FA1A,31C,0611
FA1A,31C,0613
FA1A,31C,0637
FA1A,31C,0701
FA1A,31C,0703
FA1A,31C,0901
FA1A,31C,0904
FA1A,31C,0908
FA1A,31C,0915
FA1A,31C,0918
FA1A,31C,0920
FA1A,31C,0923
FA1A,31C,0924
FA1A,31C,0926
FA1A,31C,0932
FA1A,31C,0956
FA1A,31C,0961
FA1A,31C,0968
FA1A,31C,0969
FA1A,31C,0991
FA1A,31C,0992
FA1A,31C,1003
FA1A,31C,1013
FA1A,31C,1026
FA1A,31C,1027
FA1A,31C,1047
FA1A,31C,1070
FA1A,31C,1075
FA1A,31C,1082
FA1A,31C,1102
FA1A,31C,1104
FA1A,31C,1105
FA1A,31C,1112
FA1A,31C,1153
FA1A,31C,1154
FA1A,31C,1605
FA1A,31C,A004
FA1A,31C,A005
FA1A,31C,A006
FA1A,31C,A014
FA1A,31C,A019
FA1A,31C,A035
FA1A,31C,A053
FA1A,31C,A068
FA1A,31C,A210
FA1A,31C,A245
FA1A,31C,A268
FA1A,31C,E007
FA1A,31C,E037
FA1A,31D,0017
FA1A,31D,0132
FA1A,31D,0331
FA1A,31D,0416
FA1A,31D,0422
FA1A,31D,0427
FA1A,31D,0436
FA1A,31D,0442
FA1A,31D,0453
FA1A,31D,0479
FA1A,31D,0480
FA1A,31D,0538
FA1A,31D,0606
FA1A,31D,0637
FA1A,31D,0701
FA1A,31D,0703
FA1A,31D,0901
FA1A,31D,0904
FA1A,31D,0908
FA1A,31D,0915
FA1A,31D,0920
FA1A,31D,0923
FA1A,31D,0924
FA1A,31D,0926
FA1A,31D,0932
FA1A,31D,0956
FA1A,31D,0961
FA1A,31D,0968
FA1A,31D,0969
FA1A,31D,0991
FA1A,31D,1013
FA1A,31D,1026
FA1A,31D,1027
FA1A,31D,1075
FA1A,31D,1082
FA1A,31D,1102
FA1A,31D,1104
FA1A,31D,1105
FA1A,31D,1112
FA1A,31D,1153
FA1A,31D,1154
FA1A,31D,1605
FA1A,31D,A004
FA1A,31D,A005
FA1A,31D,A006
FA1A,31D,A014
FA1A,31D,A019
FA1A,31D,A035
FA1A,31D,A068
FA1A,31D,A245
FA1A,31D,A268
FA1A,31D,E007
FA1A,31D,E037
FA1A,31F,0017
FA1A,31F,0132
FA1A,31F,0331
FA1A,31F,0416
FA1A,31F,0422
FA1A,31F,0427
FA1A,31F,0436
FA1A,31F,0442
FA1A,31F,0453
FA1A,31F,0479
FA1A,31F,0480
FA1A,31F,0538
FA1A,31F,0606
FA1A,31F,0637
FA1A,31F,0701
FA1A,31F,0703
FA1A,31F,0901
FA1A,31F,0904
FA1A,31F,0908
FA1A,31F,0915
FA1A,31F,0920
FA1A,31F,0923
FA1A,31F,0924
FA1A,31F,0926
FA1A,31F,0932
FA1A,31F,0956
FA1A,31F,0961
FA1A,31F,0968
FA1A,31F,0969
FA1A,31F,0991
FA1A,31F,1013
FA1A,31F,1026
FA1A,31F,1027
FA1A,31F,1075
FA1A,31F,1082
FA1A,31F,1102
FA1A,31F,1104
FA1A,31F,1105
FA1A,31F,1112
FA1A,31F,1153
FA1A,31F,1154
FA1A,31F,1605
FA1A,31F,A004
FA1A,31F,A005
FA1A,31F,A006
FA1A,31F,A014
FA1A,31F,A019
FA1A,31F,A035
FA1A,31F,A068
FA1A,31F,A245
FA1A,31F,A268
FA1A,31F,E007
FA1A,31F,E037
FA1A,31G,0017
FA1A,31G,0132
FA1A,31G,0331
FA1A,31G,0416
FA1A,31G,0422
FA1A,31G,0427
FA1A,31G,0436
FA1A,31G,0442
FA1A,31G,0453
FA1A,31G,0479
FA1A,31G,0480
FA1A,31G,0538
FA1A,31G,0606
FA1A,31G,0637
FA1A,31G,0701
FA1A,31G,0703
FA1A,31G,0901
FA1A,31G,0904
FA1A,31G,0908
FA1A,31G,0915
FA1A,31G,0920
FA1A,31G,0923
FA1A,31G,0924
FA1A,31G,0926
FA1A,31G,0932
FA1A,31G,0956
FA1A,31G,0961
FA1A,31G,0968
FA1A,31G,0969
FA1A,31G,0991
FA1A,31G,1013
FA1A,31G,1026
FA1A,31G,1027
FA1A,31G,1075
FA1A,31G,1082
FA1A,31G,1102
FA1A,31G,1104
FA1A,31G,1105
FA1A,31G,1112
FA1A,31G,1153
FA1A,31G,1154
FA1A,31G,1605
FA1A,31G,A004
FA1A,31G,A005
FA1A,31G,A006
FA1A,31G,A014
FA1A,31G,A019
FA1A,31G,A035
FA1A,31G,A068
FA1A,31G,A245
FA1A,31G,A268
FA1A,31G,E007
FA1A,31G,E037
FA1A,31H,0017
FA1A,31H,0132
FA1A,31H,0331
FA1A,31H,0416
FA1A,31H,0422
FA1A,31H,0427
FA1A,31H,0436
FA1A,31H,0442
FA1A,31H,0453
FA1A,31H,0479
FA1A,31H,0480
FA1A,31H,0538
FA1A,31H,0606
FA1A,31H,0637
FA1A,31H,0701
FA1A,31H,0703
FA1A,31H,0901
FA1A,31H,0904
FA1A,31H,0908
FA1A,31H,0915
FA1A,31H,0920
FA1A,31H,0923
FA1A,31H,0924
FA1A,31H,0926
FA1A,31H,0932
FA1A,31H,0956
FA1A,31H,0961
FA1A,31H,0968
FA1A,31H,0969
FA1A,31H,0991
FA1A,31H,1013
FA1A,31H,1026
FA1A,31H,1027
FA1A,31H,1075
FA1A,31H,1082
FA1A,31H,1102
FA1A,31H,1104
FA1A,31H,1105
FA1A,31H,1112
FA1A,31H,1153
FA1A,31H,1154
FA1A,31H,1605
FA1A,31H,A004
FA1A,31H,A005
FA1A,31H,A006
FA1A,31H,A014
FA1A,31H,A019
FA1A,31H,A035
FA1A,31H,A068
FA1A,31H,A245
FA1A,31H,A268
FA1A,31H,E007
FA1A,31H,E037
FA1A,32A,0017
FA1A,32A,0132
FA1A,32A,0331
FA1A,32A,0416
FA1A,32A,0417
FA1A,32A,0418
FA1A,32A,0420
FA1A,32A,0422
FA1A,32A,0424
FA1A,32A,0425
FA1A,32A,0427
FA1A,32A,0434
FA1A,32A,0436
FA1A,32A,0442
FA1A,32A,0453
FA1A,32A,0462
FA1A,32A,0477
FA1A,32A,0479
FA1A,32A,0480
FA1A,32A,0508
FA1A,32A,0510
FA1A,32A,0511
FA1A,32A,0512
FA1A,32A,0513
FA1A,32A,0516
FA1A,32A,0533
FA1A,32A,0538
FA1A,32A,0566
FA1A,32A,0570
FA1A,32A,0601
FA1A,32A,0606
FA1A,32A,0607
FA1A,32A,0611
FA1A,32A,0613
FA1A,32A,0637
FA1A,32A,0701
FA1A,32A,0703
FA1A,32A,0901
FA1A,32A,0904
FA1A,32A,0908
FA1A,32A,0910
FA1A,32A,0914
FA1A,32A,0915
FA1A,32A,0918
FA1A,32A,0920
FA1A,32A,0922
FA1A,32A,0923
FA1A,32A,0924
FA1A,32A,0926
FA1A,32A,0932
FA1A,32A,0956
FA1A,32A,0961
FA1A,32A,0963
FA1A,32A,0965
FA1A,32A,0968
FA1A,32A,0969
FA1A,32A,0983
FA1A,32A,0991
FA1A,32A,0992
FA1A,32A,1003
FA1A,32A,1013
FA1A,32A,1026
FA1A,32A,1027
FA1A,32A,1047
FA1A,32A,1070
FA1A,32A,1075
FA1A,32A,1082
FA1A,32A,1102
FA1A,32A,1104
FA1A,32A,1105
FA1A,32A,1112
FA1A,32A,1153
FA1A,32A,1154
FA1A,32A,1605
FA1A,32A,969D
FA1A,32A,A004
FA1A,32A,A005
FA1A,32A,A006
FA1A,32A,A014
FA1A,32A,A019
FA1A,32A,A035
FA1A,32A,A053
FA1A,32A,A068
FA1A,32A,A210
FA1A,32A,A210
FA1A,32A,A245
FA1A,32A,A268
FA1A,32A,E007
FA1A,32A,E037
FA1A,32B,0017
FA1A,32B,0132
FA1A,32B,0331
FA1A,32B,0416
FA1A,32B,0417
FA1A,32B,0418
FA1A,32B,0420
FA1A,32B,0422
FA1A,32B,0424
FA1A,32B,0425
FA1A,32B,0427
FA1A,32B,0434
FA1A,32B,0436
FA1A,32B,0442
FA1A,32B,0453
FA1A,32B,0462
FA1A,32B,0477
FA1A,32B,0479
FA1A,32B,0480
FA1A,32B,0508
FA1A,32B,0510
FA1A,32B,0511
FA1A,32B,0512
FA1A,32B,0513
FA1A,32B,0516
FA1A,32B,0533
FA1A,32B,0538
FA1A,32B,0566
FA1A,32B,0570
FA1A,32B,0601
FA1A,32B,0606
FA1A,32B,0607
FA1A,32B,0611
FA1A,32B,0613
FA1A,32B,0637
FA1A,32B,0701
FA1A,32B,0703
FA1A,32B,0901
FA1A,32B,0904
FA1A,32B,0908
FA1A,32B,0910
FA1A,32B,0915
FA1A,32B,0918
FA1A,32B,0920
FA1A,32B,0922
FA1A,32B,0923
FA1A,32B,0924
FA1A,32B,0926
FA1A,32B,0932
FA1A,32B,0956
FA1A,32B,0961
FA1A,32B,0965
FA1A,32B,0968
FA1A,32B,0969
FA1A,32B,0983
FA1A,32B,0991
FA1A,32B,0992
FA1A,32B,1003
FA1A,32B,1013
FA1A,32B,1026
FA1A,32B,1027
FA1A,32B,1047
FA1A,32B,1070
FA1A,32B,1075
FA1A,32B,1082
FA1A,32B,1102
FA1A,32B,1104
FA1A,32B,1105
FA1A,32B,1112
FA1A,32B,1153
FA1A,32B,1154
FA1A,32B,1605
FA1A,32B,969D
FA1A,32B,A004
FA1A,32B,A005
FA1A,32B,A006
FA1A,32B,A014
FA1A,32B,A019
FA1A,32B,A035
FA1A,32B,A053
FA1A,32B,A068
FA1A,32B,A210
FA1A,32B,A210
FA1A,32B,A245
FA1A,32B,A268
FA1A,32B,E007
FA1A,32B,E037
FA1A,32C,0017
FA1A,32C,0132
FA1A,32C,0331
FA1A,32C,0416
FA1A,32C,0417
FA1A,32C,0418
FA1A,32C,0420
FA1A,32C,0422
FA1A,32C,0424
FA1A,32C,0425
FA1A,32C,0427
FA1A,32C,0434
FA1A,32C,0436
FA1A,32C,0442
FA1A,32C,0453
FA1A,32C,0462
FA1A,32C,0477
FA1A,32C,0479
FA1A,32C,0480
FA1A,32C,0508
FA1A,32C,0510
FA1A,32C,0511
FA1A,32C,0512
FA1A,32C,0513
FA1A,32C,0516
FA1A,32C,0533
FA1A,32C,0538
FA1A,32C,0566
FA1A,32C,0570
FA1A,32C,0601
FA1A,32C,0606
FA1A,32C,0607
FA1A,32C,0611
FA1A,32C,0613
FA1A,32C,0637
FA1A,32C,0701
FA1A,32C,0703
FA1A,32C,0901
FA1A,32C,0904
FA1A,32C,0908
FA1A,32C,0910
FA1A,32C,0915
FA1A,32C,0918
FA1A,32C,0920
FA1A,32C,0922
FA1A,32C,0923
FA1A,32C,0924
FA1A,32C,0926
FA1A,32C,0932
FA1A,32C,0956
FA1A,32C,0961
FA1A,32C,0965
FA1A,32C,0968
FA1A,32C,0969
FA1A,32C,0983
FA1A,32C,0991
FA1A,32C,0992
FA1A,32C,1003
FA1A,32C,1013
FA1A,32C,1026
FA1A,32C,1027
FA1A,32C,1047
FA1A,32C,1070
FA1A,32C,1075
FA1A,32C,1082
FA1A,32C,1102
FA1A,32C,1104
FA1A,32C,1105
FA1A,32C,1112
FA1A,32C,1153
FA1A,32C,1154
FA1A,32C,1605
FA1A,32C,969D
FA1A,32C,A004
FA1A,32C,A005
FA1A,32C,A006
FA1A,32C,A014
FA1A,32C,A019
FA1A,32C,A035
FA1A,32C,A053
FA1A,32C,A068
FA1A,32C,A210
FA1A,32C,A210
FA1A,32C,A245
FA1A,32C,A268
FA1A,32C,E007
FA1A,32C,E037
FA1A,32D,0017
FA1A,32D,0132
FA1A,32D,0331
FA1A,32D,0416
FA1A,32D,0417
FA1A,32D,0418
FA1A,32D,0420
FA1A,32D,0422
FA1A,32D,0424
FA1A,32D,0425
FA1A,32D,0427
FA1A,32D,0434
FA1A,32D,0436
FA1A,32D,0442
FA1A,32D,0453
FA1A,32D,0462
FA1A,32D,0477
FA1A,32D,0479
FA1A,32D,0480
FA1A,32D,0508
FA1A,32D,0510
FA1A,32D,0511
FA1A,32D,0512
FA1A,32D,0513
FA1A,32D,0516
FA1A,32D,0533
FA1A,32D,0538
FA1A,32D,0566
FA1A,32D,0570
FA1A,32D,0601
FA1A,32D,0606
FA1A,32D,0607
FA1A,32D,0611
FA1A,32D,0613
FA1A,32D,0637
FA1A,32D,0701
FA1A,32D,0703
FA1A,32D,0901
FA1A,32D,0904
FA1A,32D,0908
FA1A,32D,0910
FA1A,32D,0915
FA1A,32D,0918
FA1A,32D,0920
FA1A,32D,0922
FA1A,32D,0923
FA1A,32D,0924
FA1A,32D,0926
FA1A,32D,0932
FA1A,32D,0956
FA1A,32D,0961
FA1A,32D,0965
FA1A,32D,0968
FA1A,32D,0969
FA1A,32D,0983
FA1A,32D,0991
FA1A,32D,0992
FA1A,32D,1003
FA1A,32D,1013
FA1A,32D,1026
FA1A,32D,1027
FA1A,32D,1047
FA1A,32D,1070
FA1A,32D,1075
FA1A,32D,1082
FA1A,32D,1102
FA1A,32D,1104
FA1A,32D,1105
FA1A,32D,1112
FA1A,32D,1153
FA1A,32D,1154
FA1A,32D,1605
FA1A,32D,969D
FA1A,32D,A004
FA1A,32D,A005
FA1A,32D,A006
FA1A,32D,A014
FA1A,32D,A019
FA1A,32D,A035
FA1A,32D,A053
FA1A,32D,A068
FA1A,32D,A210
FA1A,32D,A210
FA1A,32D,A245
FA1A,32D,A268
FA1A,32D,E007
FA1A,32D,E037
FA1A,32E,0017
FA1A,32E,0132
FA1A,32E,0331
FA1A,32E,0416
FA1A,32E,0417
FA1A,32E,0418
FA1A,32E,0420
FA1A,32E,0422
FA1A,32E,0424
FA1A,32E,0425
FA1A,32E,0427
FA1A,32E,0434
FA1A,32E,0436
FA1A,32E,0442
FA1A,32E,0453
FA1A,32E,0462
FA1A,32E,0477
FA1A,32E,0479
FA1A,32E,0480
FA1A,32E,0508
FA1A,32E,0510
FA1A,32E,0511
FA1A,32E,0512
FA1A,32E,0513
FA1A,32E,0516
FA1A,32E,0533
FA1A,32E,0538
FA1A,32E,0566
FA1A,32E,0570
FA1A,32E,0601
FA1A,32E,0606
FA1A,32E,0607
FA1A,32E,0611
FA1A,32E,0613
FA1A,32E,0637
FA1A,32E,0701
FA1A,32E,0703
FA1A,32E,0901
FA1A,32E,0904
FA1A,32E,0908
FA1A,32E,0910
FA1A,32E,0915
FA1A,32E,0918
FA1A,32E,0920
FA1A,32E,0922
FA1A,32E,0923
FA1A,32E,0924
FA1A,32E,0926
FA1A,32E,0932
FA1A,32E,0956
FA1A,32E,0961
FA1A,32E,0965
FA1A,32E,0968
FA1A,32E,0969
FA1A,32E,0983
FA1A,32E,0991
FA1A,32E,0992
FA1A,32E,1003
FA1A,32E,1013
FA1A,32E,1026
FA1A,32E,1027
FA1A,32E,1047
FA1A,32E,1070
FA1A,32E,1075
FA1A,32E,1082
FA1A,32E,1102
FA1A,32E,1104
FA1A,32E,1105
FA1A,32E,1112
FA1A,32E,1153
FA1A,32E,1154
FA1A,32E,1605
FA1A,32E,969D
FA1A,32E,A004
FA1A,32E,A005
FA1A,32E,A006
FA1A,32E,A014
FA1A,32E,A019
FA1A,32E,A035
FA1A,32E,A053
FA1A,32E,A068
FA1A,32E,A210
FA1A,32E,A210
FA1A,32E,A245
FA1A,32E,A268
FA1A,32E,E007
FA1A,32E,E037
FA1A,32F,0017
FA1A,32F,0132
FA1A,32F,0331
FA1A,32F,0416
FA1A,32F,0417
FA1A,32F,0418
FA1A,32F,0420
FA1A,32F,0422
FA1A,32F,0424
FA1A,32F,0425
FA1A,32F,0427
FA1A,32F,0434
FA1A,32F,0436
FA1A,32F,0442
FA1A,32F,0453
FA1A,32F,0462
FA1A,32F,0477
FA1A,32F,0479
FA1A,32F,0480
FA1A,32F,0508
FA1A,32F,0510
FA1A,32F,0511
FA1A,32F,0512
FA1A,32F,0513
FA1A,32F,0516
FA1A,32F,0533
FA1A,32F,0538
FA1A,32F,0566
FA1A,32F,0570
FA1A,32F,0601
FA1A,32F,0606
FA1A,32F,0607
FA1A,32F,0611
FA1A,32F,0613
FA1A,32F,0637
FA1A,32F,0701
FA1A,32F,0703
FA1A,32F,0901
FA1A,32F,0904
FA1A,32F,0908
FA1A,32F,0910
FA1A,32F,0915
FA1A,32F,0918
FA1A,32F,0920
FA1A,32F,0922
FA1A,32F,0923
FA1A,32F,0924
FA1A,32F,0926
FA1A,32F,0932
FA1A,32F,0956
FA1A,32F,0961
FA1A,32F,0965
FA1A,32F,0968
FA1A,32F,0969
FA1A,32F,0983
FA1A,32F,0991
FA1A,32F,0992
FA1A,32F,1003
FA1A,32F,1013
FA1A,32F,1026
FA1A,32F,1027
FA1A,32F,1047
FA1A,32F,1070
FA1A,32F,1075
FA1A,32F,1082
FA1A,32F,1102
FA1A,32F,1104
FA1A,32F,1105
FA1A,32F,1112
FA1A,32F,1153
FA1A,32F,1154
FA1A,32F,1605
FA1A,32F,969D
FA1A,32F,A004
FA1A,32F,A005
FA1A,32F,A006
FA1A,32F,A014
FA1A,32F,A019
FA1A,32F,A035
FA1A,32F,A053
FA1A,32F,A068
FA1A,32F,A210
FA1A,32F,A210
FA1A,32F,A245
FA1A,32F,A268
FA1A,32F,E007
FA1A,32F,E037
FA1A,32G,0017
FA1A,32G,0132
FA1A,32G,0331
FA1A,32G,0416
FA1A,32G,0417
FA1A,32G,0418
FA1A,32G,0420
FA1A,32G,0422
FA1A,32G,0424
FA1A,32G,0425
FA1A,32G,0427
FA1A,32G,0434
FA1A,32G,0436
FA1A,32G,0442
FA1A,32G,0453
FA1A,32G,0462
FA1A,32G,0477
FA1A,32G,0479
FA1A,32G,0480
FA1A,32G,0508
FA1A,32G,0510
FA1A,32G,0511
FA1A,32G,0512
FA1A,32G,0513
FA1A,32G,0516
FA1A,32G,0533
FA1A,32G,0538
FA1A,32G,0566
FA1A,32G,0570
FA1A,32G,0601
FA1A,32G,0606
FA1A,32G,0607
FA1A,32G,0611
FA1A,32G,0613
FA1A,32G,0637
FA1A,32G,0701
FA1A,32G,0703
FA1A,32G,0901
